time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2018/04/09/18:35:20.384881,148,1523324120,173303814,map,-0.00611114501953,-0.00562286376953,0.0,0.0,0.0,0.00485362954229,0.999988221071
2018/04/09/18:35:20.530624,149,1523324120,326296144,map,-0.00616455078125,-0.00579071044922,0.0,0.0,0.0,0.00535170786981,0.999985679509
2018/04/09/18:35:20.665816,150,1523324120,468419345,map,-0.00209045410156,-0.00264739990234,0.0,0.0,0.0,0.00743954797425,0.99997232618
2018/04/09/18:35:20.822624,151,1523324120,602301478,map,0.00632858276367,-0.00131225585938,0.0,0.0,0.0,0.0138320181204,0.999904333061
2018/04/09/18:35:20.955409,152,1523324120,755722378,map,0.0174140930176,0.00663375854492,0.0,0.0,0.0,0.0115410889355,0.999933399415
2018/04/09/18:35:21.111149,153,1523324120,893679557,map,0.0132942199707,0.000469207763672,0.0,0.0,0.0,0.0158056554386,0.999875082826
2018/04/09/18:35:21.247875,154,1523324121,47251623,map,0.0191459655762,0.00435256958008,0.0,0.0,0.0,0.0139170266496,0.999903153495
2018/04/09/18:35:21.404037,155,1523324121,185116230,map,0.0386161804199,0.00901031494141,0.0,0.0,0.0,0.000373451263345,0.999999930267
2018/04/09/18:35:21.545685,156,1523324121,323529725,map,0.0612907409668,0.00368499755859,0.0,0.0,0.0,-0.0115729687719,0.999933030954
2018/04/09/18:35:21.761654,157,1523324121,476444905,map,0.0860710144043,0.000141143798828,0.0,0.0,0.0,-0.0267754100746,0.999641474437
2018/04/09/18:35:21.838796,158,1523324121,614818593,map,0.110095977783,-0.00489044189453,0.0,0.0,0.0,-0.0426507854264,0.999090041239
2018/04/09/18:35:21.990409,159,1523324121,767609807,map,0.133586883545,-0.0109710693359,0.0,0.0,0.0,-0.0613260597935,0.99811778583
2018/04/09/18:35:22.115599,160,1523324121,905623371,map,0.158592224121,-0.0197372436523,0.0,0.0,0.0,-0.0887098037188,0.996057513763
2018/04/09/18:35:22.266301,161,1523324122,43568233,map,0.17407989502,-0.0313606262207,0.0,0.0,0.0,-0.123061152552,0.992399089446
2018/04/09/18:35:22.420943,162,1523324122,197786118,map,0.194511413574,-0.0473861694336,0.0,0.0,0.0,-0.162476797992,0.986712364428
2018/04/09/18:35:22.549006,163,1523324122,334924400,map,0.210559844971,-0.0666580200195,0.0,0.0,0.0,-0.207699384379,0.97819270378
2018/04/09/18:35:22.697657,164,1523324122,472951022,map,0.224475860596,-0.0899620056152,0.0,0.0,0.0,-0.250325208916,0.96816180971
2018/04/09/18:35:22.831976,165,1523324122,628080350,map,0.239265441895,-0.113548278809,0.0,0.0,0.0,-0.292384148139,0.956300951541
2018/04/09/18:35:22.984673,166,1523324122,764313076,map,0.246894836426,-0.136829376221,0.0,0.0,0.0,-0.346982163851,0.937871727887
2018/04/09/18:35:23.118519,167,1523324122,917989688,map,0.251106262207,-0.153923034668,0.0,0.0,0.0,-0.36054426078,0.932742105846
2018/04/09/18:35:23.258509,168,1523324123,55679740,map,0.273174285889,-0.129920959473,0.0,0.0,0.0,-0.292963442229,0.956123643425
2018/04/09/18:35:23.395838,169,1523324123,193794362,map,0.290367126465,-0.118553161621,0.0,0.0,0.0,-0.216216720325,0.976345394751
2018/04/09/18:35:23.553634,170,1523324123,331663548,map,0.305225372314,-0.093563079834,0.0,0.0,0.0,-0.121483306358,0.992593474831
2018/04/09/18:35:23.696630,171,1523324123,485103077,map,0.33150100708,-0.0688552856445,0.0,0.0,0.0,-0.0339847059078,0.999422353044
2018/04/09/18:35:23.836299,172,1523324123,623185412,map,0.356224060059,-0.0589599609375,0.0,0.0,0.0,0.00508174627543,0.999987087844
2018/04/09/18:35:23.994679,173,1523324123,761076933,map,0.380424499512,-0.0475578308105,0.0,0.0,0.0,0.0313381235103,0.999508840389
2018/04/09/18:35:24.126889,174,1523324123,914271922,map,0.401893615723,-0.0405349731445,0.0,0.0,0.0,0.0415770262229,0.999135301594
2018/04/09/18:35:24.274628,175,1523324124,52433232,map,0.412559509277,-0.0568923950195,0.0,0.0,0.0,0.020229274657,0.999795367286
2018/04/09/18:35:24.428838,176,1523324124,205847579,map,0.436573028564,-0.0608711242676,0.0,0.0,0.0,0.00276337677954,0.999996181867
2018/04/09/18:35:24.569293,177,1523324124,343687359,map,0.460712432861,-0.0652465820312,0.0,0.0,0.0,-0.0186171820976,0.999826685246
2018/04/09/18:35:24.709177,178,1523324124,481661697,map,0.480751037598,-0.0705795288086,0.0,0.0,0.0,-0.040759627428,0.99916898109
2018/04/09/18:35:24.850518,179,1523324124,634943662,map,0.501686096191,-0.0772666931152,0.0,0.0,0.0,-0.0604645862957,0.99817034308
2018/04/09/18:35:24.981382,180,1523324124,773075182,map,0.520526885986,-0.0835952758789,0.0,0.0,0.0,-0.0769144768146,0.997037694
2018/04/09/18:35:25.140826,181,1523324124,911263757,map,0.541297912598,-0.0896759033203,0.0,0.0,0.0,-0.0879415340827,0.996125637951
2018/04/09/18:35:25.272504,182,1523324125,64347742,map,0.566184997559,-0.0919609069824,0.0,0.0,0.0,-0.0906845002435,0.995879672157
2018/04/09/18:35:25.433587,183,1523324125,202324225,map,0.597400665283,-0.0955619812012,0.0,0.0,0.0,-0.0889387307607,0.996037098792
2018/04/09/18:35:25.567644,184,1523324125,355843021,map,0.626518249512,-0.0988426208496,0.0,0.0,0.0,-0.088291833555,0.996094650185
